,words,frequency
207,to,70
75,due,60
18,a,36
201,technical,26
204,the,21
131,malfunction,18
84,failure,15
140,of,11
142,on,10
80,engine,8
27,an,7
29,and,6
67,control,6
129,loss,5
151,over,4
35,at,3
51,by,3
74,down,3
81,error,3
224,was,3
31,approach,2
33,as,2
41,bearing,2
42,being,2
76,during,2
91,for,2
92,from,2
95,ground,2
99,high,2
104,in,2
121,land,2
128,London,2
130,maintenance,2
150,or,2
158,Point,2
159,power,2
162,problems,2
179,sensor,2
187,some,2
226,which,2
227,while,2
228,whilst,2
1,'C',1
2,(MTS),1
3,(PPO)-1,1
4,(the,1
5,$,1
6,12,1
7,12th,1
8,2011,1
9,2015,1
10,2017,1
11,2018,1
12,26,1
13,31,1
14,4,1
15,5,1
16,500ft,1
17,60knots,1
19,accident,1
20,according,1
21,actuating,1
22,Afghanistan,1
23,air,1
24,Air,1
25,aircraft,1
26,altitude,1
28,analysis),1
30,another,1
32,area,1
34,Assemblies,1
36,Athan,1
37,auto-abort,1
38,AV,1
39,backwards,1
40,bad,1
43,besieged,1
44,between,1
45,board,1
46,bolt,1
47,Borough,1
48,both,1
49,Brixton,1
50,bug,1
52,camera,1
53,cause,1
54,caused,1
55,causing,1
56,chance,1
57,collision,1
58,Combat,1
59,command,1
60,Command,1
61,communication,1
62,complete,1
63,compressor,1
64,connectivity,1
65,console,1
66,construction,1
68,Control,1
69,controller,1
70,crane,1
71,degraded,1
72,deteriorating,1
73,diagram,1
77,either,1
78,electrical,1
79,eliminate,1
82,establish,1
83,failed,1
85,falsely,1
86,fault,1
87,faulty,1
88,FCS,1
89,fin,1
90,Flight,1
93,Glamorgan,1
94,GPS,1
96,gust,1
97,gyro,1
98,harm,1
100,Hinkley,1
101,Hinley,1
102,Homs,1
103,hours,1
105,inability,1
106,inaccuracies,1
107,inaccurate,1
108,initial,1
109,inside,1
110,installed,1
111,interference,1
112,into,1
113,investigation,1
114,issue,1
115,it,1
116,Jalalabad,1
117,January,1
118,July,1
119,just,1
120,Lambeth,1
122,lead,1
123,leading,1
124,leak,1
125,Lebanese,1
126,life,1
127,link,1
132,manual,1
133,manufacturing,1
134,mishap,1
135,mounted,1
136,MQ-9A,1
137,no,1
138,nose,1
139,not,1
141,oil,1
143,one,1
144,only,1
145,operating,1
146,operational,1
147,operator,1
148,Operator,1
149,operators,1
152,overheating,1
153,Payload,1
154,pilot,1
155,Pilot,1
156,pitched,1
157,pocket,1
160,Power,1
161,power-up,1
163,prop,1
164,propeller,1
165,property,1
166,province,1
167,RAF,1
168,recognize,1
169,recovered,1
170,registered,1
171,released,1
172,relying,1
173,report,1
174,rod,1
175,roll,1
176,rolled,1
177,runway,1
178,Saturday,1
180,Sept,1
181,September,1
182,servo-failure,1
183,shot,1
184,site,1
185,so,1
186,software,1
188,Somerset,1
189,sortie,1
190,South,1
191,speed,1
192,St,1
193,Station,1
194,strong,1
195,surfaces,1
196,SW2,1
197,system,1
198,systems,1
199,take-off,1
200,targeting,1
202,technicals,1
203,territory,1
205,threshold,1
206,thrust,1
208,touch,1
209,transmitting,1
210,tried,1
211,turbocharger,1
212,two,1
213,UA,1
214,UAV,1
215,uncommanded,1
216,under-performing,1
217,undetermined,1
218,US,1
219,used,1
220,V-tail,1
221,visibility,1
222,VMSC,1
223,Wales,1
225,weather,1
229,wind,1
230,winds,1
231,with,1
232,within,1
233,wreckage,1
