ASRS Acesn Nbr,Acft Seq,Event Date,State,Operation Type,Mission,Airport
234345,1,1-Feb-93,VI,NULL,NULL,NULL
,2,1-Feb-93,VI,NULL,NULL,NULL
380163,1,1-Sep-97,VA,FBO,PASSENGER,W97
,2,1-Sep-97,VA,AIR CARRIER,PASSENGER,W97
,3,1-Sep-97,VA,NULL,NULL,W97
496075,1,1-Dec-00,MN,AIR TAXI,CARGO / FREIGHT,MSP
827171,1,1-Mar-09,US,AIR CARRIER,PASSENGER,ZZZ
868336,1,1-Jan-10,AZ,PERSONAL,NULL,NULL
997019,1,1-Feb-12,US,CORPORATE,CARGO / FREIGHT,NULL
1008476,1,1-May-12,FL,MILITARY,TEST FLIGHT,NULL
1018520,1,1-Jun-12,US,PERSONAL,TRAINING,ZZZ
1044401,1,1-Oct-12,MS,NULL,FERRY,MJD
,2,1-Oct-12,MS,NULL,NULL,MJD
1071669,1,1-Mar-13,MN,AIR CARRIER,NULL,NULL
,2,1-Mar-13,MN,NULL,NULL,NULL
1072535,1,1-Mar-13,FL,PERSONAL,PERSONAL,NULL
,2,1-Mar-13,FL,NULL,NULL,NULL
1072844,1,1-Mar-13,VA,AIR CARRIER,NULL,PHF
,2,1-Mar-13,VA,NULL,NULL,PHF
1102249,1,1-Jul-13,NY,AIR CARRIER,PASSENGER,LGA
1168950,1,1-Apr-14,NY,AIR CARRIER,PASSENGER,NULL
1176559,1,1-Jun-14,DC,AIR CARRIER,NULL,IAD
,2,1-Jun-14,DC,NULL,NULL,IAD
1179489,1,1-Jun-14,US,NULL,PERSONAL,ZZZ
1184054,1,1-Jun-14,MI,AIR CARRIER,PASSENGER,DTW
,2,1-Jun-14,MI,NULL,NULL,DTW
1184194,1,1-Jun-14,FL,PERSONAL,PERSONAL,06F
,2,1-Jun-14,FL,NULL,NULL,06F
1186633,1,1-Jun-14,AZ,PERSONAL,PERSONAL,SDL
,2,1-Jun-14,AZ,NULL,NULL,SDL
1188814,1,1-Jul-14,NC,AIR CARRIER,NULL,CLT
,2,1-Jul-14,NC,NULL,NULL,CLT
1189141,1,1-Jul-14,CA,AIR CARRIER,PASSENGER,SNA
1189266,1,1-Jul-14,NJ,AIR CARRIER,PASSENGER,EWR
1189597,1,1-Jul-14,NH,AIR TAXI,NULL,NULL
,2,1-Jul-14,NH,NULL,NULL,NULL
1190244,1,1-Jun-14,NJ,CORPORATE,PASSENGER,TEB
,2,1-Jun-14,NJ,NULL,NULL,TEB
1200384,1,1-Sep-14,CA,FRACTIONAL,FERRY,NULL
,2,1-Sep-14,CA,NULL,NULL,NULL
1203165,1,1-Sep-14,NY,AIR CARRIER,PASSENGER,LGA
,2,1-Sep-14,NY,NULL,NULL,LGA
1203977,1,1-Sep-14,FL,PERSONAL,PERSONAL,EYW
1210374,1,1-Oct-14,NY,AIR CARRIER,NULL,LGA
1215270,1,1-Nov-14,TX,AIR CARRIER,NULL,DFW
,2,1-Nov-14,TX,NULL,NULL,DFW
1215886,1,1-Nov-14,NULL,NULL,NULL,NULL
1217487,1,1-Nov-14,VA,FRACTIONAL,NULL,NULL
1220249,1,1-Nov-14,MI,CORPORATE,PHOTO SHOOT,AZO
,2,1-Nov-14,MI,NULL,NULL,AZO
