,Energy,Height,Model Type
0,0.0,0,DJI Mavic Mini
1,2.3596468159451955,1,DJI Mavic Mini
2,4.56069271265485,2,DJI Mavic Mini
3,6.613797866648755,3,DJI Mavic Mini
4,8.528905943067207,4,DJI Mavic Mini
5,10.315292255150887,5,DJI Mavic Mini
6,11.981608686737314,6,DJI Mavic Mini
7,13.535925595343844,7,DJI Mavic Mini
8,14.985770898783645,8,DJI Mavic Mini
9,16.338166534620214,9,DJI Mavic Mini
10,17.599662469041977,10,DJI Mavic Mini
11,18.776368419869925,11,DJI Mavic Mini
12,19.87398344734013,12,DJI Mavic Mini
13,20.897823555976224,13,DJI Mavic Mini
0,0.0,0,DJI Mavic Air 2
1,5.544554856597122,1,DJI Mavic Air 2
2,10.995877916262023,2,DJI Mavic Air 2
3,16.355536873459563,3,DJI Mavic Air 2
0,0.0,0,DJI Mavic 2 Pro
1,8.752480723955847,1,DJI Mavic 2 Pro
2,17.220883375381447,2,DJI Mavic 2 Pro
0,0.0,0,DJI PHANTOM 4 PRO V2.0
1,13.316797808068936,1,DJI PHANTOM 4 PRO V2.0
0,0.0,0,YUNTYHPRBPU
1,15.642938045386295,1,YUNTYHPRBPU
0,0.0,0,YUNTYH3EU
1,19.09499980455086,1,YUNTYH3EU
